Activity Name,Activity Type,Park ID,Park Name,Timings,Height Restrictions,URL,Location Lat,Location Lng
Meet Donald Duck in Mexico,Entertainment,80007838,EPCOT,"09:30:00 to 09:30:00, 10:00:00 to 10:00:00, 10:30:00 to 10:30:00, 11:00:00 to 11:00:00, 11:30:00 to 11:30:00, 12:00:00 to 12:00:00, 12:30:00 to 12:30:00, 14:10:00 to 14:10:00, 14:40:00 to 14:40:00, 15:10:00 to 15:10:00, 15:40:00 to 15:40:00, 16:10:00 to 16:10:00",,https://disneyworld.disney.go.com/entertainment/epcot/character-meet-donald-duck-mexico/,28.371185,-81.547297
Raglan Road Live Entertainment,Entertainment,80007798,,,,https://disneyworld.disney.go.com/entertainment/disney-springs/raglan-road-entertainment/,28.371143,-81.517783
Atlantic Dance Hall,Entertainment,80008259,Disney's BoardWalk,20:00:00 to 01:00:00,,https://disneyworld.disney.go.com/entertainment/boardwalk/atlantic-dance-hall/,28.367668,-81.5579
Meet Moana at Character Landing,Entertainment,80007823,Disney's Animal Kingdom Theme Park,"08:30:00 to 11:30:00, 13:30:00 to 15:45:00",,https://disneyworld.disney.go.com/entertainment/animal-kingdom/character-meet-moana-character-landing/,28.357086,-81.589374
Springs Overlook,Entertainment,10460,Disney Springs,,,https://disneyworld.disney.go.com/entertainment/disney-springs/springs-overlook/,28.370383,-81.517411
Command Performance,Entertainment,80007838,EPCOT,"15:00:00 to 15:00:00, 16:15:00 to 16:15:00, 17:30:00 to 17:30:00, 19:00:00 to 19:00:00, 20:00:00 to 20:00:00",,https://disneyworld.disney.go.com/entertainment/epcot/command-performance/,28.370535,-81.552498
Fireworks & Nighttime Entertainment,Entertainment,80007798,,,,https://disneyworld.disney.go.com/entertainment/fireworks/,,
Mickey's Magical Friendship Faire,Entertainment,80007944,Magic Kingdom Park,"10:00:00 to 10:00:00, 11:10:00 to 11:10:00, 12:50:00 to 12:50:00, 13:55:00 to 13:55:00, 16:00:00 to 16:00:00",,https://disneyworld.disney.go.com/entertainment/magic-kingdom/mickeys-magical-friendship-faire/,28.419169,-81.581204
Meet Edna Mode at the Edna Mode Experience,Entertainment,80007998,Disney's Hollywood Studios,09:00:00 to 17:00:00,any-height,https://disneyworld.disney.go.com/entertainment/hollywood-studios/character-meet-edna-mode-experience/,28.356086,-81.560742
Indiana Jones™ Epic Stunt Spectacular!,Entertainment,80007998,Disney's Hollywood Studios,"10:45:00 to 10:45:00, 12:00:00 to 12:00:00, 13:15:00 to 13:15:00, 15:15:00 to 15:15:00, 16:30:00 to 16:30:00",,https://disneyworld.disney.go.com/entertainment/hollywood-studios/indiana-jones-epic-stunt-spectacular/,28.3566701,-81.558611
Meet Figment Inside ImageWorks,Entertainment,80007838,EPCOT,"09:00:00 to 12:30:00, 13:45:00 to 15:45:00",,https://disneyworld.disney.go.com/entertainment/epcot/character-meet-figment/,28.372769,-81.55128
Disney Movie Magic,Entertainment,80007998,Disney's Hollywood Studios,20:40:00 to 20:40:00,,https://disneyworld.disney.go.com/entertainment/hollywood-studios/disney-movie-magic/,28.356965,-81.560425
For the First Time in Forever: A Frozen Sing-Along Celebration,Entertainment,80007998,Disney's Hollywood Studios,"09:30:00 to 09:30:00, 10:30:00 to 10:30:00, 11:30:00 to 11:30:00, 12:30:00 to 12:30:00, 13:30:00 to 13:30:00, 14:30:00 to 14:30:00, 15:30:00 to 15:30:00, 16:30:00 to 16:30:00, 17:30:00 to 17:30:00, 18:30:00 to 18:30:00",,https://disneyworld.disney.go.com/entertainment/hollywood-studios/frozen-sing-along-celebration/,28.3568243,-81.559694
Drawn to Life Presented by Cirque du Soleil® & Disney,Entertainment,10460,Disney Springs,"13:30:00 to 13:30:00, 16:00:00 to 16:00:00",any-height,https://disneyworld.disney.go.com/entertainment/disney-springs/cirque-du-soleil/,28.370719,-81.522536
Disney Junior Play and Dance!,Entertainment,80007998,Disney's Hollywood Studios,"09:55:00 to 09:55:00, 10:35:00 to 10:35:00, 11:15:00 to 11:15:00, 11:55:00 to 11:55:00, 12:35:00 to 12:35:00, 14:10:00 to 14:10:00, 14:50:00 to 14:50:00, 15:30:00 to 15:30:00, 16:15:00 to 16:15:00, 16:55:00 to 16:55:00",,https://disneyworld.disney.go.com/entertainment/hollywood-studios/disney-junior-play-dance/,28.357613,-81.560567
Jellyrolls,Entertainment,80008259,Disney's BoardWalk,19:00:00 to 01:45:00,,https://disneyworld.disney.go.com/entertainment/boardwalk/jellyrolls/,28.3673864,-81.557736
Meet Disney Friends Near EPCOT Main Entrance,Entertainment,80007838,EPCOT,,,https://disneyworld.disney.go.com/entertainment/epcot/character-meet-disney-pals-main-entrance/,28.375567,-81.549695
Meet Peter Pan in Fantasyland,Entertainment,80007798,,"11:35:00 to 11:35:00, 13:20:00 to 13:20:00, 14:20:00 to 14:20:00, 15:30:00 to 15:30:00, 16:25:00 to 16:25:00",,https://disneyworld.disney.go.com/entertainment/magic-kingdom/character-meet-peter-pan/,,
Meet Joy Inside ImageWorks,Entertainment,80007838,EPCOT,"10:30:00 to 14:00:00, 15:10:00 to 17:40:00",,https://disneyworld.disney.go.com/entertainment/epcot/character-meet-joy/,28.372649,-81.551259
Disney's Animal Kingdom Entertainment,Entertainment,80007823,Disney's Animal Kingdom Theme Park,,,https://disneyworld.disney.go.com/entertainment/animal-kingdom/new-dak-entertainment/,28.357994,-81.590597
Meet Ariel at Walt Disney Presents,Entertainment,80007998,Disney's Hollywood Studios,09:00:00 to 16:30:00,,https://disneyworld.disney.go.com/entertainment/hollywood-studios/character-meet-ariel-walt-disney-presents/,28.356945,-81.560998
EPCOT International Flower & Garden Festival – Garden Rocks Concert Series,Entertainment,80007838,EPCOT,"17:30:00 to 17:30:00, 18:45:00 to 18:45:00, 20:00:00 to 20:00:00",,https://disneyworld.disney.go.com/entertainment/epcot/flower-garden-rocks-concert-series/,28.36831,-81.549428
Star Wars Launch Bay: BB-8 Astromech on Duty,Entertainment,80007998,Disney's Hollywood Studios,10:00:00 to 18:00:00,,https://disneyworld.disney.go.com/entertainment/hollywood-studios/character-meet-b-b-8-star-wars-launch-bay/,28.3580201699138,-81.5610394270006
Meet Cinderella and a Visiting Princess at Princess Fairytale Hall,Entertainment,80007944,Magic Kingdom Park,09:00:00 to 21:00:00,,https://disneyworld.disney.go.com/entertainment/magic-kingdom/character-meet-princess-fantasyland/,28.420071,-81.580893
Meet Olaf at Celebrity Spotlight,Entertainment,80007998,Disney's Hollywood Studios,09:00:00 to 18:00:00,,https://disneyworld.disney.go.com/entertainment/hollywood-studios/character-meet-olaf-frozen/,28.356072,-81.559158
Meet Princess Jasmine in Morocco,Entertainment,80007838,EPCOT,"09:30:00 to 09:30:00, 10:45:00 to 10:45:00, 11:55:00 to 11:55:00, 13:50:00 to 13:50:00, 15:00:00 to 15:00:00",,https://disneyworld.disney.go.com/entertainment/epcot/character-meet-jasmine/,28.36798002,-81.5518429
Entertainment at Canada Mill Stage,Entertainment,80007838,EPCOT,"14:15:00 to 14:15:00, 15:30:00 to 15:30:00, 17:00:00 to 17:00:00, 18:15:00 to 18:15:00, 19:30:00 to 19:30:00",,https://disneyworld.disney.go.com/entertainment/epcot/canada-pavilion-entertainment/,28.371202,-81.551509
Let the Magic Begin,Entertainment,80007944,Magic Kingdom Park,07:55:00 to 07:55:00,,https://disneyworld.disney.go.com/entertainment/magic-kingdom/magic-kingdom-welcome/,28.419169,-81.581204
Meet Winnie the Pooh and Tigger at The Thotful Spot,Entertainment,80007944,Magic Kingdom Park,"10:00:00 to 10:00:00, 10:30:00 to 10:30:00, 11:00:00 to 11:00:00, 11:30:00 to 11:30:00, 12:00:00 to 12:00:00, 12:30:00 to 12:30:00, 13:00:00 to 13:00:00, 15:00:00 to 15:00:00, 15:30:00 to 15:30:00, 16:00:00 to 16:00:00, 16:30:00 to 16:30:00",,https://disneyworld.disney.go.com/entertainment/magic-kingdom/character-meet-winnie-tigger-fantasyland/,28.4201575,-81.580128
Meet Snow White in Germany,Entertainment,80007838,EPCOT,"09:30:00 to 09:30:00, 10:45:00 to 10:45:00, 11:55:00 to 11:55:00, 13:50:00 to 13:50:00, 15:00:00 to 15:00:00",,https://disneyworld.disney.go.com/entertainment/epcot/character-meet-snow-white/,28.368451,-81.546664
Festival of the Lion King,Entertainment,80007823,Disney's Animal Kingdom Theme Park,"10:00:00 to 10:00:00, 11:00:00 to 11:00:00, 12:00:00 to 12:00:00, 13:00:00 to 13:00:00, 14:00:00 to 14:00:00, 15:00:00 to 15:00:00, 16:00:00 to 16:00:00, 17:00:00 to 17:00:00, 18:00:00 to 18:00:00",,https://disneyworld.disney.go.com/entertainment/animal-kingdom/festival-of-the-lion-king/,28.35811,-81.592643
EPCOT International Festival of the Arts: DISNEY ON BROADWAY Concert Series,Entertainment,80007838,EPCOT,,,https://disneyworld.disney.go.com/entertainment/epcot/broadway-concert-series/,28.36831,-81.549428
Meet Alice in the United Kingdom,Entertainment,80007838,EPCOT,"09:00:00 to 09:00:00, 10:15:00 to 10:15:00, 11:25:00 to 11:25:00, 13:20:00 to 13:20:00, 14:30:00 to 14:30:00",,https://disneyworld.disney.go.com/entertainment/epcot/character-meet-alice-in-wonderland-uk/,28.370387,-81.551932
