Attraction Name,Park Name,Timings,Height Restrictions,Location Lat,Location Lng
Meet Donald Duck in Mexico,EPCOT,"09:30:00 to 09:30:00, 10:00:00 to 10:00:00, 10:30:00 to 10:30:00, 11:00:00 to 11:00:00, 11:30:00 to 11:30:00, 12:00:00 to 12:00:00, 12:30:00 to 12:30:00, 14:10:00 to 14:10:00, 14:40:00 to 14:40:00, 15:10:00 to 15:10:00, 15:40:00 to 15:40:00, 16:10:00 to 16:10:00",,28.371185,-81.547297
Raglan Road Live Entertainment,,,,28.371143,-81.517783
Atlantic Dance Hall,Disney's BoardWalk,20:00:00 to 01:00:00,,28.367668,-81.5579
Meet Moana at Character Landing,Disney's Animal Kingdom Theme Park,"08:30:00 to 11:30:00, 13:30:00 to 15:45:00",,28.357086,-81.589374
Springs Overlook,Disney Springs,,,28.370383,-81.517411
Command Performance,EPCOT,"15:00:00 to 15:00:00, 16:15:00 to 16:15:00, 17:30:00 to 17:30:00, 19:00:00 to 19:00:00, 20:00:00 to 20:00:00",,28.370535,-81.552498
Fireworks & Nighttime Entertainment,,,,,
Mickey's Magical Friendship Faire,Magic Kingdom Park,"10:00:00 to 10:00:00, 11:10:00 to 11:10:00, 12:50:00 to 12:50:00, 13:55:00 to 13:55:00, 16:00:00 to 16:00:00",,28.419169,-81.581204
Meet Edna Mode at the Edna Mode Experience,Disney's Hollywood Studios,09:00:00 to 17:00:00,['any-height'],28.356086,-81.560742
Indiana Jones™ Epic Stunt Spectacular!,Disney's Hollywood Studios,"10:45:00 to 10:45:00, 12:00:00 to 12:00:00, 13:15:00 to 13:15:00, 15:15:00 to 15:15:00, 16:30:00 to 16:30:00",,28.3566701,-81.558611
Meet Figment Inside ImageWorks,EPCOT,"09:00:00 to 12:30:00, 13:45:00 to 15:45:00",,28.372769,-81.55128
Disney Movie Magic,Disney's Hollywood Studios,20:40:00 to 20:40:00,,28.356965,-81.560425
For the First Time in Forever: A Frozen Sing-Along Celebration,Disney's Hollywood Studios,"09:30:00 to 09:30:00, 10:30:00 to 10:30:00, 11:30:00 to 11:30:00, 12:30:00 to 12:30:00, 13:30:00 to 13:30:00, 14:30:00 to 14:30:00, 15:30:00 to 15:30:00, 16:30:00 to 16:30:00, 17:30:00 to 17:30:00, 18:30:00 to 18:30:00",,28.3568243,-81.559694
Drawn to Life Presented by Cirque du Soleil® & Disney,Disney Springs,"13:30:00 to 13:30:00, 16:00:00 to 16:00:00",['any-height'],28.370719,-81.522536
Disney Junior Play and Dance!,Disney's Hollywood Studios,"09:55:00 to 09:55:00, 10:35:00 to 10:35:00, 11:15:00 to 11:15:00, 11:55:00 to 11:55:00, 12:35:00 to 12:35:00, 14:10:00 to 14:10:00, 14:50:00 to 14:50:00, 15:30:00 to 15:30:00, 16:15:00 to 16:15:00, 16:55:00 to 16:55:00",,28.357613,-81.560567
Jellyrolls,Disney's BoardWalk,19:00:00 to 01:45:00,,28.3673864,-81.557736
Meet Disney Friends Near EPCOT Main Entrance,EPCOT,,,28.375567,-81.549695
Meet Peter Pan in Fantasyland,,"11:35:00 to 11:35:00, 13:20:00 to 13:20:00, 14:20:00 to 14:20:00, 15:30:00 to 15:30:00, 16:25:00 to 16:25:00",,,
Meet Joy Inside ImageWorks,EPCOT,"10:30:00 to 14:00:00, 15:10:00 to 17:40:00",,28.372649,-81.551259
Disney's Animal Kingdom Entertainment,Disney's Animal Kingdom Theme Park,,,28.357994,-81.590597
Meet Ariel at Walt Disney Presents,Disney's Hollywood Studios,09:00:00 to 16:30:00,,28.356945,-81.560998
EPCOT International Flower & Garden Festival – Garden Rocks Concert Series,EPCOT,"17:30:00 to 17:30:00, 18:45:00 to 18:45:00, 20:00:00 to 20:00:00",,28.36831,-81.549428
Star Wars Launch Bay: BB-8 Astromech on Duty,Disney's Hollywood Studios,10:00:00 to 18:00:00,,28.3580201699138,-81.5610394270006
Meet Cinderella and a Visiting Princess at Princess Fairytale Hall,Magic Kingdom Park,09:00:00 to 21:00:00,,28.420071,-81.580893
Meet Olaf at Celebrity Spotlight,Disney's Hollywood Studios,09:00:00 to 18:00:00,,28.356072,-81.559158
Meet Princess Jasmine in Morocco,EPCOT,"09:30:00 to 09:30:00, 10:45:00 to 10:45:00, 11:55:00 to 11:55:00, 13:50:00 to 13:50:00, 15:00:00 to 15:00:00",,28.36798002,-81.5518429
Entertainment at Canada Mill Stage,EPCOT,"14:15:00 to 14:15:00, 15:30:00 to 15:30:00, 17:00:00 to 17:00:00, 18:15:00 to 18:15:00, 19:30:00 to 19:30:00",,28.371202,-81.551509
Let the Magic Begin,Magic Kingdom Park,07:55:00 to 07:55:00,,28.419169,-81.581204
Meet Winnie the Pooh and Tigger at The Thotful Spot,Magic Kingdom Park,"10:00:00 to 10:00:00, 10:30:00 to 10:30:00, 11:00:00 to 11:00:00, 11:30:00 to 11:30:00, 12:00:00 to 12:00:00, 12:30:00 to 12:30:00, 13:00:00 to 13:00:00, 15:00:00 to 15:00:00, 15:30:00 to 15:30:00, 16:00:00 to 16:00:00, 16:30:00 to 16:30:00",,28.4201575,-81.580128
Meet Snow White in Germany,EPCOT,"09:30:00 to 09:30:00, 10:45:00 to 10:45:00, 11:55:00 to 11:55:00, 13:50:00 to 13:50:00, 15:00:00 to 15:00:00",,28.368451,-81.546664
Festival of the Lion King,Disney's Animal Kingdom Theme Park,"10:00:00 to 10:00:00, 11:00:00 to 11:00:00, 12:00:00 to 12:00:00, 13:00:00 to 13:00:00, 14:00:00 to 14:00:00, 15:00:00 to 15:00:00, 16:00:00 to 16:00:00, 17:00:00 to 17:00:00, 18:00:00 to 18:00:00",,28.35811,-81.592643
EPCOT International Festival of the Arts: DISNEY ON BROADWAY Concert Series,EPCOT,,,28.36831,-81.549428
Meet Alice in the United Kingdom,EPCOT,"09:00:00 to 09:00:00, 10:15:00 to 10:15:00, 11:25:00 to 11:25:00, 13:20:00 to 13:20:00, 14:30:00 to 14:30:00",,28.370387,-81.551932
Character Greeting near Buzz Lightyear's Star Command,Magic Kingdom Park,,,28.4178699,-81.5792335
Tam Tam Drummers of Harambe,Disney's Animal Kingdom Theme Park,"10:15:00 to 10:15:00, 11:15:00 to 11:15:00, 12:15:00 to 12:15:00, 13:15:00 to 13:15:00, 14:15:00 to 14:15:00, 15:15:00 to 15:15:00, 16:15:00 to 16:15:00",,28.35873,-81.591928
Finding Nemo: The Big Blue... and Beyond!,Disney's Animal Kingdom Theme Park,"11:00:00 to 11:00:00, 12:00:00 to 12:00:00, 13:00:00 to 13:00:00, 14:30:00 to 14:30:00, 15:30:00 to 15:30:00, 16:30:00 to 16:30:00",,28.357401,-81.587455
JAMMitors,EPCOT,"09:30:00 to 09:30:00, 10:30:00 to 10:30:00, 11:30:00 to 11:30:00, 12:55:00 to 12:55:00, 13:55:00 to 13:55:00, 14:55:00 to 14:55:00",,28.373863,-81.549329
Meet Princess Tiana and a Visiting Princess at Princess Fairytale Hall,Magic Kingdom Park,09:00:00 to 21:00:00,,28.4200458,-81.580917
Green Army Drum Corps,Disney's Hollywood Studios,"10:00:00 to 10:00:00, 11:00:00 to 11:00:00, 12:00:00 to 12:00:00, 14:00:00 to 14:00:00, 15:00:00 to 15:00:00, 16:00:00 to 16:00:00",,28.355815,-81.562344
Meet Beloved Disney Pals at Disney and Pixar Short Film Festival,EPCOT,"10:00:00 to 14:00:00, 15:00:00 to 17:15:00",['any-height'],28.37263,-81.55115
Disney Springs Kids Club,Disney Springs,,,28.37161,-81.518211
Beauty and the Beast – Live on Stage,Disney's Hollywood Studios,"11:00:00 to 11:00:00, 13:00:00 to 13:00:00, 14:00:00 to 14:00:00, 16:00:00 to 16:00:00, 17:00:00 to 17:00:00",,28.3589163,-81.559599
Meet Dashing Disney Pals as Circus Stars at Pete's Silly Sideshow,Magic Kingdom Park,10:00:00 to 19:00:00,,28.421282,-81.578932
Meet Characters from Aladdin in Adventureland,Magic Kingdom Park,"10:40:00 to 10:40:00, 11:55:00 to 11:55:00, 13:55:00 to 13:55:00, 15:00:00 to 15:00:00",,28.418658,-81.583513
Meet Disney Stars at Red Carpet Dreams,Disney's Hollywood Studios,09:00:00 to 20:00:00,,28.356068,-81.559479
Meet Mickey at Town Square Theater,Magic Kingdom Park,08:00:00 to 22:30:00,,28.416727,-81.580746
Disney® Visa® Cardmember Star Wars Photo Opportunity at Disney's Hollywood Studios,Disney's Hollywood Studios,11:00:00 to 16:00:00,,28.358061,-81.560933
Splitsville Luxury Lanes™,Disney Springs,11:00:00 to 23:00:00,,28.370157,-81.521325
Disney Enchantment at Disney After Hours at Magic Kingdom,Magic Kingdom Park,00:00:00 to 23:59:00,,28.419507,-81.581177
Donald's Dino-Bash!,Disney's Animal Kingdom Theme Park,,,28.356385,-81.587919
Meet Asha Near World Showcase Plaza,EPCOT,"09:30:00 to 09:30:00, 10:45:00 to 10:45:00, 11:55:00 to 11:55:00, 13:50:00 to 13:50:00, 15:00:00 to 15:00:00",['any-height'],28.3718773852161,-81.5488533162313
Meet Pixar Pals at Pixar Plaza,Disney's Hollywood Studios,,['any-height'],28.3563769305406,-81.5609562845992
Meet a Friend from the Hundred Acre Wood in the United Kingdom,EPCOT,"09:00:00 to 09:00:00, 09:30:00 to 09:30:00, 10:00:00 to 10:00:00, 10:30:00 to 10:30:00, 11:00:00 to 11:00:00, 11:30:00 to 11:30:00, 12:00:00 to 12:00:00, 13:40:00 to 13:40:00, 14:10:00 to 14:10:00, 14:40:00 to 14:40:00, 15:10:00 to 15:10:00, 15:40:00 to 15:40:00",,28.3707205104,-81.5524162352
Star Wars Launch Bay: Encounter Darth Vader,Disney's Hollywood Studios,10:00:00 to 18:00:00,,28.3581387982894,-81.5608885508893
Eat to the Beat Concert Series presented by Florida Blue Medicare,EPCOT,,,28.3682261910153,-81.5493872831897
Entertainment at Germany Gazebo,EPCOT,"12:40:00 to 12:40:00, 13:30:00 to 13:30:00, 14:35:00 to 14:35:00, 15:55:00 to 15:55:00, 17:00:00 to 17:00:00, 18:05:00 to 18:05:00",,28.368651,-81.546584
Disney Festival of Fantasy Parade,Magic Kingdom Park,"12:00:00 to 12:00:00, 15:00:00 to 15:00:00",,28.4189548,-81.581198
Feathered Friends in Flight!,Disney's Animal Kingdom Theme Park,"10:30:00 to 10:30:00, 11:30:00 to 11:30:00, 13:30:00 to 13:30:00, 14:30:00 to 14:30:00, 15:30:00 to 15:30:00",,28.358791,-81.590061
Meet Mulan in China,EPCOT,,,28.3698563364835,-81.5461904203374
Meet the Toys in Toy Story Land,Disney's Hollywood Studios,,,28.356184,-81.56207
Meet Ariel at Her Grotto,Magic Kingdom Park,10:00:00 to 19:00:00,,28.4208933,-81.579613
Mickey & Friends,,,,28.370176,-81.517283
Meet Disney Junior Pals in Animation Courtyard,Disney's Hollywood Studios,"09:30:00 to 09:30:00, 10:00:00 to 10:00:00, 10:30:00 to 10:30:00, 11:00:00 to 11:00:00, 11:30:00 to 11:30:00, 12:00:00 to 12:00:00, 12:30:00 to 12:30:00, 13:00:00 to 13:00:00, 13:30:00 to 13:30:00, 14:00:00 to 14:00:00, 14:30:00 to 14:30:00, 15:00:00 to 15:00:00, 15:30:00 to 15:30:00, 16:00:00 to 16:00:00, 16:30:00 to 16:30:00",,28.357822,-81.560658
Yehaa Bob Jackson at River Roost Lounge,Disney's Port Orleans Resort - Riverside,00:00:00 to 23:59:00,,28.3864921,-81.5369
Fantasmic!,Disney's Hollywood Studios,"20:30:00 to 20:30:00, 22:00:00 to 22:00:00",,28.3612252,-81.558233
